run_order,run_id,method,task,run_num,seed
759,20260519_bmad_6_G,bmad,G,6,1d9b2c16497b3e9f
760,20260519_bmad_13_C,bmad,C,13,1d9b2c16497b3e9f
761,20260519_gsd_25_A,gsd,A,25,1d9b2c16497b3e9f
762,20260519_spec-kit_23_D,spec-kit,D,23,1d9b2c16497b3e9f
763,20260519_bmad_25_J,bmad,J,25,1d9b2c16497b3e9f
764,20260519_bare_1_A,bare,A,1,1d9b2c16497b3e9f
765,20260519_bare_27_D,bare,D,27,1d9b2c16497b3e9f
766,20260519_gsd_26_E,gsd,E,26,1d9b2c16497b3e9f
767,20260519_bmad_20_I,bmad,I,20,1d9b2c16497b3e9f
768,20260519_gsd_17_J,gsd,J,17,1d9b2c16497b3e9f
769,20260519_bigpowers_14_D,bigpowers,D,14,1d9b2c16497b3e9f
770,20260519_gsd_16_G,gsd,G,16,1d9b2c16497b3e9f
771,20260519_acps_17_B,acps,B,17,1d9b2c16497b3e9f
772,20260519_spec-kit_11_G,spec-kit,G,11,1d9b2c16497b3e9f
773,20260519_acps_20_A,acps,A,20,1d9b2c16497b3e9f
774,20260519_acps_8_D,acps,D,8,1d9b2c16497b3e9f
775,20260519_bigpowers_17_H,bigpowers,H,17,1d9b2c16497b3e9f
776,20260519_gsd_9_E,gsd,E,9,1d9b2c16497b3e9f
777,20260519_superpowers_14_D,superpowers,D,14,1d9b2c16497b3e9f
778,20260519_acps_20_H,acps,H,20,1d9b2c16497b3e9f
779,20260519_spec-kit_22_G,spec-kit,G,22,1d9b2c16497b3e9f
780,20260519_acps_9_E,acps,E,9,1d9b2c16497b3e9f
781,20260519_spec-kit_2_D,spec-kit,D,2,1d9b2c16497b3e9f
782,20260519_acps_30_G,acps,G,30,1d9b2c16497b3e9f
783,20260519_spec-kit_15_J,spec-kit,J,15,1d9b2c16497b3e9f
784,20260519_gsd_27_I,gsd,I,27,1d9b2c16497b3e9f
785,20260519_gsd_17_E,gsd,E,17,1d9b2c16497b3e9f
786,20260519_bare_7_B,bare,B,7,1d9b2c16497b3e9f
787,20260519_bigpowers_8_D,bigpowers,D,8,1d9b2c16497b3e9f
788,20260519_gsd_8_G,gsd,G,8,1d9b2c16497b3e9f
789,20260519_spec-kit_14_B,spec-kit,B,14,1d9b2c16497b3e9f
790,20260519_bigpowers_27_B,bigpowers,B,27,1d9b2c16497b3e9f
791,20260519_spec-kit_13_B,spec-kit,B,13,1d9b2c16497b3e9f
792,20260519_bigpowers_30_E,bigpowers,E,30,1d9b2c16497b3e9f
793,20260519_spec-kit_9_I,spec-kit,I,9,1d9b2c16497b3e9f
794,20260519_bigpowers_8_I,bigpowers,I,8,1d9b2c16497b3e9f
795,20260519_bare_6_G,bare,G,6,1d9b2c16497b3e9f
796,20260519_superpowers_9_C,superpowers,C,9,1d9b2c16497b3e9f
797,20260519_bare_27_H,bare,H,27,1d9b2c16497b3e9f
798,20260519_gsd_10_D,gsd,D,10,1d9b2c16497b3e9f
799,20260519_acps_2_C,acps,C,2,1d9b2c16497b3e9f
800,20260519_acps_4_I,acps,I,4,1d9b2c16497b3e9f
801,20260519_gsd_9_F,gsd,F,9,1d9b2c16497b3e9f
802,20260519_bare_13_C,bare,C,13,1d9b2c16497b3e9f
803,20260519_spec-kit_11_B,spec-kit,B,11,1d9b2c16497b3e9f
804,20260519_acps_20_G,acps,G,20,1d9b2c16497b3e9f
805,20260519_acps_22_G,acps,G,22,1d9b2c16497b3e9f
806,20260519_spec-kit_10_E,spec-kit,E,10,1d9b2c16497b3e9f
807,20260519_bigpowers_1_J,bigpowers,J,1,1d9b2c16497b3e9f
808,20260519_bmad_25_E,bmad,E,25,1d9b2c16497b3e9f
809,20260519_bigpowers_9_J,bigpowers,J,9,1d9b2c16497b3e9f
810,20260519_bare_12_F,bare,F,12,1d9b2c16497b3e9f
811,20260519_bigpowers_28_C,bigpowers,C,28,1d9b2c16497b3e9f
812,20260519_bare_1_H,bare,H,1,1d9b2c16497b3e9f
813,20260519_spec-kit_30_G,spec-kit,G,30,1d9b2c16497b3e9f
814,20260519_acps_14_C,acps,C,14,1d9b2c16497b3e9f
815,20260519_acps_25_C,acps,C,25,1d9b2c16497b3e9f
816,20260519_bare_14_C,bare,C,14,1d9b2c16497b3e9f
817,20260519_bmad_7_A,bmad,A,7,1d9b2c16497b3e9f
818,20260519_bmad_26_H,bmad,H,26,1d9b2c16497b3e9f
819,20260519_bigpowers_27_E,bigpowers,E,27,1d9b2c16497b3e9f
820,20260519_spec-kit_21_J,spec-kit,J,21,1d9b2c16497b3e9f
821,20260519_bigpowers_3_G,bigpowers,G,3,1d9b2c16497b3e9f
822,20260519_gsd_9_G,gsd,G,9,1d9b2c16497b3e9f
823,20260519_bare_5_H,bare,H,5,1d9b2c16497b3e9f
824,20260519_bmad_27_C,bmad,C,27,1d9b2c16497b3e9f
825,20260519_bmad_17_J,bmad,J,17,1d9b2c16497b3e9f
826,20260519_superpowers_23_J,superpowers,J,23,1d9b2c16497b3e9f
827,20260519_acps_1_B,acps,B,1,1d9b2c16497b3e9f
828,20260519_gsd_18_E,gsd,E,18,1d9b2c16497b3e9f
829,20260519_spec-kit_23_E,spec-kit,E,23,1d9b2c16497b3e9f
830,20260519_superpowers_7_E,superpowers,E,7,1d9b2c16497b3e9f
831,20260519_spec-kit_7_I,spec-kit,I,7,1d9b2c16497b3e9f
832,20260519_spec-kit_28_B,spec-kit,B,28,1d9b2c16497b3e9f
833,20260519_superpowers_12_I,superpowers,I,12,1d9b2c16497b3e9f
834,20260519_bare_20_D,bare,D,20,1d9b2c16497b3e9f
835,20260519_gsd_17_F,gsd,F,17,1d9b2c16497b3e9f
836,20260519_bmad_23_A,bmad,A,23,1d9b2c16497b3e9f
837,20260519_bare_24_A,bare,A,24,1d9b2c16497b3e9f
838,20260519_acps_4_B,acps,B,4,1d9b2c16497b3e9f
839,20260519_bigpowers_23_C,bigpowers,C,23,1d9b2c16497b3e9f
840,20260519_superpowers_11_B,superpowers,B,11,1d9b2c16497b3e9f
841,20260519_spec-kit_5_I,spec-kit,I,5,1d9b2c16497b3e9f
842,20260519_spec-kit_4_H,spec-kit,H,4,1d9b2c16497b3e9f
843,20260519_bigpowers_24_F,bigpowers,F,24,1d9b2c16497b3e9f
844,20260519_bare_14_A,bare,A,14,1d9b2c16497b3e9f
845,20260519_spec-kit_3_F,spec-kit,F,3,1d9b2c16497b3e9f
846,20260519_superpowers_6_B,superpowers,B,6,1d9b2c16497b3e9f
847,20260519_bmad_3_J,bmad,J,3,1d9b2c16497b3e9f
848,20260519_bigpowers_23_A,bigpowers,A,23,1d9b2c16497b3e9f
849,20260519_acps_30_A,acps,A,30,1d9b2c16497b3e9f
850,20260519_spec-kit_11_H,spec-kit,H,11,1d9b2c16497b3e9f
851,20260519_spec-kit_22_D,spec-kit,D,22,1d9b2c16497b3e9f
852,20260519_bare_8_H,bare,H,8,1d9b2c16497b3e9f
853,20260519_bare_6_D,bare,D,6,1d9b2c16497b3e9f
854,20260519_superpowers_25_I,superpowers,I,25,1d9b2c16497b3e9f
855,20260519_bmad_27_E,bmad,E,27,1d9b2c16497b3e9f
856,20260519_spec-kit_14_H,spec-kit,H,14,1d9b2c16497b3e9f
857,20260519_acps_4_H,acps,H,4,1d9b2c16497b3e9f
858,20260519_acps_15_C,acps,C,15,1d9b2c16497b3e9f
859,20260519_gsd_21_G,gsd,G,21,1d9b2c16497b3e9f
860,20260519_superpowers_6_D,superpowers,D,6,1d9b2c16497b3e9f
861,20260519_spec-kit_17_H,spec-kit,H,17,1d9b2c16497b3e9f
862,20260519_gsd_3_D,gsd,D,3,1d9b2c16497b3e9f
863,20260519_acps_13_I,acps,I,13,1d9b2c16497b3e9f
864,20260519_gsd_1_I,gsd,I,1,1d9b2c16497b3e9f
865,20260519_gsd_30_H,gsd,H,30,1d9b2c16497b3e9f
866,20260519_superpowers_25_A,superpowers,A,25,1d9b2c16497b3e9f
867,20260519_gsd_26_I,gsd,I,26,1d9b2c16497b3e9f
868,20260519_gsd_20_E,gsd,E,20,1d9b2c16497b3e9f
869,20260519_superpowers_25_H,superpowers,H,25,1d9b2c16497b3e9f
870,20260519_superpowers_23_A,superpowers,A,23,1d9b2c16497b3e9f
871,20260519_gsd_1_A,gsd,A,1,1d9b2c16497b3e9f
872,20260519_bare_9_F,bare,F,9,1d9b2c16497b3e9f
873,20260519_gsd_22_B,gsd,B,22,1d9b2c16497b3e9f
874,20260519_superpowers_24_B,superpowers,B,24,1d9b2c16497b3e9f
875,20260519_bmad_19_C,bmad,C,19,1d9b2c16497b3e9f
876,20260519_gsd_1_J,gsd,J,1,1d9b2c16497b3e9f
877,20260519_superpowers_28_D,superpowers,D,28,1d9b2c16497b3e9f
878,20260519_superpowers_21_D,superpowers,D,21,1d9b2c16497b3e9f
879,20260519_bare_9_B,bare,B,9,1d9b2c16497b3e9f
880,20260519_bmad_8_H,bmad,H,8,1d9b2c16497b3e9f
881,20260519_superpowers_17_B,superpowers,B,17,1d9b2c16497b3e9f
882,20260519_bmad_15_H,bmad,H,15,1d9b2c16497b3e9f
883,20260519_acps_27_H,acps,H,27,1d9b2c16497b3e9f
884,20260519_superpowers_27_I,superpowers,I,27,1d9b2c16497b3e9f
885,20260519_acps_13_G,acps,G,13,1d9b2c16497b3e9f
886,20260519_bare_3_C,bare,C,3,1d9b2c16497b3e9f
887,20260519_bare_16_I,bare,I,16,1d9b2c16497b3e9f
888,20260519_bmad_12_J,bmad,J,12,1d9b2c16497b3e9f
889,20260519_acps_7_C,acps,C,7,1d9b2c16497b3e9f
890,20260519_spec-kit_29_F,spec-kit,F,29,1d9b2c16497b3e9f
891,20260519_bigpowers_2_J,bigpowers,J,2,1d9b2c16497b3e9f
892,20260519_gsd_7_J,gsd,J,7,1d9b2c16497b3e9f
893,20260519_superpowers_17_G,superpowers,G,17,1d9b2c16497b3e9f
894,20260519_bmad_5_H,bmad,H,5,1d9b2c16497b3e9f
895,20260519_bigpowers_7_F,bigpowers,F,7,1d9b2c16497b3e9f
896,20260519_gsd_11_I,gsd,I,11,1d9b2c16497b3e9f
897,20260519_bmad_11_H,bmad,H,11,1d9b2c16497b3e9f
898,20260519_bare_7_E,bare,E,7,1d9b2c16497b3e9f
899,20260519_acps_16_H,acps,H,16,1d9b2c16497b3e9f
900,20260519_bigpowers_7_I,bigpowers,I,7,1d9b2c16497b3e9f
901,20260519_superpowers_19_G,superpowers,G,19,1d9b2c16497b3e9f
902,20260519_spec-kit_11_C,spec-kit,C,11,1d9b2c16497b3e9f
903,20260519_spec-kit_5_F,spec-kit,F,5,1d9b2c16497b3e9f
904,20260519_gsd_5_G,gsd,G,5,1d9b2c16497b3e9f
905,20260519_bmad_25_F,bmad,F,25,1d9b2c16497b3e9f
906,20260519_bare_13_D,bare,D,13,1d9b2c16497b3e9f
907,20260519_gsd_22_G,gsd,G,22,1d9b2c16497b3e9f
908,20260519_bmad_20_A,bmad,A,20,1d9b2c16497b3e9f
909,20260519_bare_19_C,bare,C,19,1d9b2c16497b3e9f
910,20260519_bare_14_F,bare,F,14,1d9b2c16497b3e9f
911,20260519_acps_16_J,acps,J,16,1d9b2c16497b3e9f
912,20260519_bmad_10_A,bmad,A,10,1d9b2c16497b3e9f
913,20260519_bare_19_F,bare,F,19,1d9b2c16497b3e9f
914,20260519_gsd_10_G,gsd,G,10,1d9b2c16497b3e9f
915,20260519_superpowers_13_J,superpowers,J,13,1d9b2c16497b3e9f
916,20260519_acps_25_F,acps,F,25,1d9b2c16497b3e9f
917,20260519_bigpowers_16_F,bigpowers,F,16,1d9b2c16497b3e9f
918,20260519_gsd_4_J,gsd,J,4,1d9b2c16497b3e9f
919,20260519_bare_8_G,bare,G,8,1d9b2c16497b3e9f
920,20260519_superpowers_18_B,superpowers,B,18,1d9b2c16497b3e9f
921,20260519_bare_21_J,bare,J,21,1d9b2c16497b3e9f
922,20260519_bmad_13_D,bmad,D,13,1d9b2c16497b3e9f
923,20260519_acps_10_G,acps,G,10,1d9b2c16497b3e9f
924,20260519_spec-kit_20_J,spec-kit,J,20,1d9b2c16497b3e9f
925,20260519_superpowers_18_D,superpowers,D,18,1d9b2c16497b3e9f
926,20260519_spec-kit_8_G,spec-kit,G,8,1d9b2c16497b3e9f
927,20260519_superpowers_4_I,superpowers,I,4,1d9b2c16497b3e9f
928,20260519_superpowers_6_A,superpowers,A,6,1d9b2c16497b3e9f
929,20260519_bare_4_D,bare,D,4,1d9b2c16497b3e9f
930,20260519_bigpowers_29_B,bigpowers,B,29,1d9b2c16497b3e9f
931,20260519_bare_7_J,bare,J,7,1d9b2c16497b3e9f
932,20260519_bmad_16_E,bmad,E,16,1d9b2c16497b3e9f
933,20260519_bmad_26_C,bmad,C,26,1d9b2c16497b3e9f
934,20260519_gsd_6_E,gsd,E,6,1d9b2c16497b3e9f
935,20260519_bare_2_I,bare,I,2,1d9b2c16497b3e9f
936,20260519_acps_15_I,acps,I,15,1d9b2c16497b3e9f
937,20260519_bare_3_B,bare,B,3,1d9b2c16497b3e9f
938,20260519_bmad_8_C,bmad,C,8,1d9b2c16497b3e9f
939,20260519_acps_6_F,acps,F,6,1d9b2c16497b3e9f
940,20260519_gsd_19_I,gsd,I,19,1d9b2c16497b3e9f
941,20260519_spec-kit_16_D,spec-kit,D,16,1d9b2c16497b3e9f
942,20260519_bigpowers_25_D,bigpowers,D,25,1d9b2c16497b3e9f
943,20260519_bmad_13_F,bmad,F,13,1d9b2c16497b3e9f
944,20260519_spec-kit_16_I,spec-kit,I,16,1d9b2c16497b3e9f
945,20260519_gsd_4_E,gsd,E,4,1d9b2c16497b3e9f
946,20260519_gsd_21_B,gsd,B,21,1d9b2c16497b3e9f
947,20260519_spec-kit_20_E,spec-kit,E,20,1d9b2c16497b3e9f
948,20260519_gsd_10_E,gsd,E,10,1d9b2c16497b3e9f
949,20260519_bare_23_F,bare,F,23,1d9b2c16497b3e9f
950,20260519_superpowers_19_A,superpowers,A,19,1d9b2c16497b3e9f
951,20260519_acps_23_H,acps,H,23,1d9b2c16497b3e9f
952,20260519_bare_1_I,bare,I,1,1d9b2c16497b3e9f
953,20260519_gsd_15_G,gsd,G,15,1d9b2c16497b3e9f
954,20260519_bigpowers_23_G,bigpowers,G,23,1d9b2c16497b3e9f
955,20260519_acps_8_G,acps,G,8,1d9b2c16497b3e9f
956,20260519_bare_12_G,bare,G,12,1d9b2c16497b3e9f
957,20260519_bmad_15_G,bmad,G,15,1d9b2c16497b3e9f
958,20260519_spec-kit_6_G,spec-kit,G,6,1d9b2c16497b3e9f
959,20260519_gsd_12_E,gsd,E,12,1d9b2c16497b3e9f
960,20260519_bmad_24_D,bmad,D,24,1d9b2c16497b3e9f
961,20260519_gsd_13_B,gsd,B,13,1d9b2c16497b3e9f
962,20260519_superpowers_2_F,superpowers,F,2,1d9b2c16497b3e9f
963,20260519_gsd_14_G,gsd,G,14,1d9b2c16497b3e9f
964,20260519_bare_2_E,bare,E,2,1d9b2c16497b3e9f
965,20260519_bigpowers_2_A,bigpowers,A,2,1d9b2c16497b3e9f
966,20260519_acps_26_A,acps,A,26,1d9b2c16497b3e9f
967,20260519_bare_10_H,bare,H,10,1d9b2c16497b3e9f
968,20260519_bigpowers_25_F,bigpowers,F,25,1d9b2c16497b3e9f
969,20260519_gsd_13_G,gsd,G,13,1d9b2c16497b3e9f
970,20260519_acps_17_C,acps,C,17,1d9b2c16497b3e9f
971,20260519_acps_15_G,acps,G,15,1d9b2c16497b3e9f
972,20260519_spec-kit_27_H,spec-kit,H,27,1d9b2c16497b3e9f
973,20260519_bigpowers_27_F,bigpowers,F,27,1d9b2c16497b3e9f
974,20260519_spec-kit_27_A,spec-kit,A,27,1d9b2c16497b3e9f
975,20260519_acps_30_J,acps,J,30,1d9b2c16497b3e9f
976,20260519_acps_17_D,acps,D,17,1d9b2c16497b3e9f
977,20260519_gsd_29_I,gsd,I,29,1d9b2c16497b3e9f
978,20260519_acps_5_D,acps,D,5,1d9b2c16497b3e9f
979,20260519_gsd_11_D,gsd,D,11,1d9b2c16497b3e9f
980,20260519_spec-kit_5_D,spec-kit,D,5,1d9b2c16497b3e9f
981,20260519_bare_16_J,bare,J,16,1d9b2c16497b3e9f
982,20260519_acps_5_F,acps,F,5,1d9b2c16497b3e9f
983,20260519_spec-kit_26_J,spec-kit,J,26,1d9b2c16497b3e9f
984,20260519_gsd_1_H,gsd,H,1,1d9b2c16497b3e9f
985,20260519_bare_18_E,bare,E,18,1d9b2c16497b3e9f
986,20260519_bmad_6_E,bmad,E,6,1d9b2c16497b3e9f
987,20260519_bmad_4_B,bmad,B,4,1d9b2c16497b3e9f
988,20260519_superpowers_27_A,superpowers,A,27,1d9b2c16497b3e9f
989,20260519_spec-kit_21_G,spec-kit,G,21,1d9b2c16497b3e9f
990,20260519_acps_18_E,acps,E,18,1d9b2c16497b3e9f
991,20260519_gsd_26_F,gsd,F,26,1d9b2c16497b3e9f
992,20260519_bmad_12_C,bmad,C,12,1d9b2c16497b3e9f
993,20260519_superpowers_7_D,superpowers,D,7,1d9b2c16497b3e9f
994,20260519_gsd_28_D,gsd,D,28,1d9b2c16497b3e9f
995,20260519_acps_9_F,acps,F,9,1d9b2c16497b3e9f
996,20260519_bmad_6_D,bmad,D,6,1d9b2c16497b3e9f
997,20260519_superpowers_15_E,superpowers,E,15,1d9b2c16497b3e9f
998,20260519_bmad_23_C,bmad,C,23,1d9b2c16497b3e9f
999,20260519_gsd_11_A,gsd,A,11,1d9b2c16497b3e9f
1000,20260519_gsd_10_H,gsd,H,10,1d9b2c16497b3e9f
1001,20260519_bmad_25_H,bmad,H,25,1d9b2c16497b3e9f
1002,20260519_bmad_11_J,bmad,J,11,1d9b2c16497b3e9f
1003,20260519_bare_30_C,bare,C,30,1d9b2c16497b3e9f
1004,20260519_bare_12_J,bare,J,12,1d9b2c16497b3e9f
1005,20260519_spec-kit_6_H,spec-kit,H,6,1d9b2c16497b3e9f
1006,20260519_bmad_1_G,bmad,G,1,1d9b2c16497b3e9f
1007,20260519_bigpowers_18_I,bigpowers,I,18,1d9b2c16497b3e9f
1008,20260519_acps_6_C,acps,C,6,1d9b2c16497b3e9f
1009,20260519_gsd_3_J,gsd,J,3,1d9b2c16497b3e9f
1010,20260519_bare_29_D,bare,D,29,1d9b2c16497b3e9f
1011,20260519_bmad_19_H,bmad,H,19,1d9b2c16497b3e9f
1012,20260519_superpowers_2_H,superpowers,H,2,1d9b2c16497b3e9f
1013,20260519_spec-kit_13_G,spec-kit,G,13,1d9b2c16497b3e9f
1014,20260519_bare_2_F,bare,F,2,1d9b2c16497b3e9f
1015,20260519_gsd_19_H,gsd,H,19,1d9b2c16497b3e9f
1016,20260519_gsd_22_H,gsd,H,22,1d9b2c16497b3e9f
1017,20260519_bare_22_J,bare,J,22,1d9b2c16497b3e9f
1018,20260519_superpowers_16_E,superpowers,E,16,1d9b2c16497b3e9f
1019,20260519_gsd_30_D,gsd,D,30,1d9b2c16497b3e9f
1020,20260519_acps_28_C,acps,C,28,1d9b2c16497b3e9f
1021,20260519_superpowers_1_A,superpowers,A,1,1d9b2c16497b3e9f
1022,20260519_acps_30_C,acps,C,30,1d9b2c16497b3e9f
1023,20260519_superpowers_8_E,superpowers,E,8,1d9b2c16497b3e9f
1024,20260519_superpowers_10_J,superpowers,J,10,1d9b2c16497b3e9f
1025,20260519_acps_3_H,acps,H,3,1d9b2c16497b3e9f
1026,20260519_bmad_9_J,bmad,J,9,1d9b2c16497b3e9f
1027,20260519_bmad_28_I,bmad,I,28,1d9b2c16497b3e9f
1028,20260519_spec-kit_23_G,spec-kit,G,23,1d9b2c16497b3e9f
1029,20260519_bigpowers_23_J,bigpowers,J,23,1d9b2c16497b3e9f
1030,20260519_gsd_25_C,gsd,C,25,1d9b2c16497b3e9f
1031,20260519_gsd_29_H,gsd,H,29,1d9b2c16497b3e9f
1032,20260519_gsd_12_H,gsd,H,12,1d9b2c16497b3e9f
1033,20260519_bmad_12_D,bmad,D,12,1d9b2c16497b3e9f
1034,20260519_superpowers_3_G,superpowers,G,3,1d9b2c16497b3e9f
1035,20260519_spec-kit_9_D,spec-kit,D,9,1d9b2c16497b3e9f
1036,20260519_superpowers_6_C,superpowers,C,6,1d9b2c16497b3e9f
1037,20260519_acps_3_J,acps,J,3,1d9b2c16497b3e9f
1038,20260519_acps_22_A,acps,A,22,1d9b2c16497b3e9f
1039,20260519_superpowers_11_D,superpowers,D,11,1d9b2c16497b3e9f
1040,20260519_gsd_7_I,gsd,I,7,1d9b2c16497b3e9f
1041,20260519_spec-kit_18_J,spec-kit,J,18,1d9b2c16497b3e9f
1042,20260519_superpowers_22_E,superpowers,E,22,1d9b2c16497b3e9f
1043,20260519_gsd_16_J,gsd,J,16,1d9b2c16497b3e9f
1044,20260519_acps_26_F,acps,F,26,1d9b2c16497b3e9f
1045,20260519_bare_16_G,bare,G,16,1d9b2c16497b3e9f
1046,20260519_gsd_17_B,gsd,B,17,1d9b2c16497b3e9f
1047,20260519_bigpowers_10_G,bigpowers,G,10,1d9b2c16497b3e9f
1048,20260519_bmad_14_D,bmad,D,14,1d9b2c16497b3e9f
1049,20260519_acps_21_A,acps,A,21,1d9b2c16497b3e9f
1050,20260519_superpowers_14_A,superpowers,A,14,1d9b2c16497b3e9f
1051,20260519_superpowers_10_G,superpowers,G,10,1d9b2c16497b3e9f
1052,20260519_bmad_23_F,bmad,F,23,1d9b2c16497b3e9f
1053,20260519_spec-kit_17_C,spec-kit,C,17,1d9b2c16497b3e9f
1054,20260519_acps_14_B,acps,B,14,1d9b2c16497b3e9f
1055,20260519_bigpowers_11_J,bigpowers,J,11,1d9b2c16497b3e9f
1056,20260519_superpowers_4_B,superpowers,B,4,1d9b2c16497b3e9f
1057,20260519_bare_10_F,bare,F,10,1d9b2c16497b3e9f
1058,20260519_spec-kit_25_J,spec-kit,J,25,1d9b2c16497b3e9f
1059,20260519_bmad_4_C,bmad,C,4,1d9b2c16497b3e9f
1060,20260519_bare_25_E,bare,E,25,1d9b2c16497b3e9f
1061,20260519_spec-kit_3_A,spec-kit,A,3,1d9b2c16497b3e9f
1062,20260519_acps_10_H,acps,H,10,1d9b2c16497b3e9f
1063,20260519_acps_28_I,acps,I,28,1d9b2c16497b3e9f
1064,20260519_superpowers_11_I,superpowers,I,11,1d9b2c16497b3e9f
1065,20260519_bigpowers_29_G,bigpowers,G,29,1d9b2c16497b3e9f
1066,20260519_acps_21_G,acps,G,21,1d9b2c16497b3e9f
1067,20260519_acps_19_I,acps,I,19,1d9b2c16497b3e9f
1068,20260519_spec-kit_2_J,spec-kit,J,2,1d9b2c16497b3e9f
1069,20260519_bmad_9_A,bmad,A,9,1d9b2c16497b3e9f
1070,20260519_bigpowers_16_D,bigpowers,D,16,1d9b2c16497b3e9f
1071,20260519_acps_21_J,acps,J,21,1d9b2c16497b3e9f
1072,20260519_bmad_17_D,bmad,D,17,1d9b2c16497b3e9f
1073,20260519_acps_5_E,acps,E,5,1d9b2c16497b3e9f
1074,20260519_superpowers_13_A,superpowers,A,13,1d9b2c16497b3e9f
1075,20260519_bigpowers_1_A,bigpowers,A,1,1d9b2c16497b3e9f
1076,20260519_bmad_14_F,bmad,F,14,1d9b2c16497b3e9f
1077,20260519_acps_25_I,acps,I,25,1d9b2c16497b3e9f
1078,20260519_superpowers_28_B,superpowers,B,28,1d9b2c16497b3e9f
1079,20260519_bare_6_E,bare,E,6,1d9b2c16497b3e9f
1080,20260519_superpowers_26_B,superpowers,B,26,1d9b2c16497b3e9f
1081,20260519_superpowers_24_D,superpowers,D,24,1d9b2c16497b3e9f
1082,20260519_superpowers_21_A,superpowers,A,21,1d9b2c16497b3e9f
1083,20260519_acps_29_G,acps,G,29,1d9b2c16497b3e9f
1084,20260519_spec-kit_19_B,spec-kit,B,19,1d9b2c16497b3e9f
1085,20260519_bigpowers_24_I,bigpowers,I,24,1d9b2c16497b3e9f
1086,20260519_gsd_18_G,gsd,G,18,1d9b2c16497b3e9f
1087,20260519_bare_30_I,bare,I,30,1d9b2c16497b3e9f
1088,20260519_superpowers_14_H,superpowers,H,14,1d9b2c16497b3e9f
1089,20260519_bare_16_A,bare,A,16,1d9b2c16497b3e9f
1090,20260519_spec-kit_20_F,spec-kit,F,20,1d9b2c16497b3e9f
1091,20260519_bmad_28_A,bmad,A,28,1d9b2c16497b3e9f
1092,20260519_superpowers_28_A,superpowers,A,28,1d9b2c16497b3e9f
1093,20260519_spec-kit_19_I,spec-kit,I,19,1d9b2c16497b3e9f
1094,20260519_bare_15_G,bare,G,15,1d9b2c16497b3e9f
1095,20260519_acps_6_H,acps,H,6,1d9b2c16497b3e9f
1096,20260519_gsd_30_G,gsd,G,30,1d9b2c16497b3e9f
1097,20260519_superpowers_2_I,superpowers,I,2,1d9b2c16497b3e9f
1098,20260519_bmad_10_J,bmad,J,10,1d9b2c16497b3e9f
1099,20260519_bare_5_F,bare,F,5,1d9b2c16497b3e9f
1100,20260519_bare_20_A,bare,A,20,1d9b2c16497b3e9f
1101,20260519_gsd_24_J,gsd,J,24,1d9b2c16497b3e9f
1102,20260519_gsd_12_A,gsd,A,12,1d9b2c16497b3e9f
1103,20260519_bare_8_A,bare,A,8,1d9b2c16497b3e9f
1104,20260519_superpowers_30_C,superpowers,C,30,1d9b2c16497b3e9f
1105,20260519_bigpowers_24_A,bigpowers,A,24,1d9b2c16497b3e9f
1106,20260519_bmad_11_F,bmad,F,11,1d9b2c16497b3e9f
1107,20260519_bigpowers_9_D,bigpowers,D,9,1d9b2c16497b3e9f
1108,20260519_gsd_14_F,gsd,F,14,1d9b2c16497b3e9f
1109,20260519_acps_1_I,acps,I,1,1d9b2c16497b3e9f
1110,20260519_superpowers_25_C,superpowers,C,25,1d9b2c16497b3e9f
1111,20260519_bmad_13_I,bmad,I,13,1d9b2c16497b3e9f
1112,20260519_bmad_16_J,bmad,J,16,1d9b2c16497b3e9f
1113,20260519_superpowers_24_A,superpowers,A,24,1d9b2c16497b3e9f
1114,20260519_acps_12_H,acps,H,12,1d9b2c16497b3e9f
1115,20260519_spec-kit_4_F,spec-kit,F,4,1d9b2c16497b3e9f
1116,20260519_superpowers_10_I,superpowers,I,10,1d9b2c16497b3e9f
1117,20260519_acps_5_C,acps,C,5,1d9b2c16497b3e9f
1118,20260519_bigpowers_16_B,bigpowers,B,16,1d9b2c16497b3e9f
1119,20260519_gsd_25_H,gsd,H,25,1d9b2c16497b3e9f
1120,20260519_bare_9_G,bare,G,9,1d9b2c16497b3e9f
1121,20260519_bmad_8_D,bmad,D,8,1d9b2c16497b3e9f
1122,20260519_bare_28_G,bare,G,28,1d9b2c16497b3e9f
1123,20260519_bigpowers_25_A,bigpowers,A,25,1d9b2c16497b3e9f
1124,20260519_bmad_3_E,bmad,E,3,1d9b2c16497b3e9f
1125,20260519_bmad_26_F,bmad,F,26,1d9b2c16497b3e9f
1126,20260519_gsd_3_B,gsd,B,3,1d9b2c16497b3e9f
1127,20260519_bare_19_H,bare,H,19,1d9b2c16497b3e9f
1128,20260519_gsd_10_F,gsd,F,10,1d9b2c16497b3e9f
1129,20260519_bmad_2_A,bmad,A,2,1d9b2c16497b3e9f
1130,20260519_bare_28_C,bare,C,28,1d9b2c16497b3e9f
1131,20260519_bigpowers_7_A,bigpowers,A,7,1d9b2c16497b3e9f
1132,20260519_spec-kit_13_J,spec-kit,J,13,1d9b2c16497b3e9f
1133,20260519_acps_23_B,acps,B,23,1d9b2c16497b3e9f
1134,20260519_bare_9_H,bare,H,9,1d9b2c16497b3e9f
1135,20260519_acps_15_H,acps,H,15,1d9b2c16497b3e9f
1136,20260519_bare_9_E,bare,E,9,1d9b2c16497b3e9f
